restaurant_code,tag_code
RES0041,TAG0020
RES0042,TAG0108
RES0042,TAG0059
RES0042,TAG0024
RES0042,TAG0069
RES0042,TAG0041
RES0042,TAG0021
RES0042,TAG0089
RES0043,TAG0036
RES0043,TAG0108
RES0043,TAG0065
RES0043,TAG0015
RES0043,TAG0001
RES0043,TAG0098
RES0045,TAG0125
RES0045,TAG0034
RES0045,TAG0065
RES0045,TAG0100
RES0045,TAG0086
RES0046,TAG0054
RES0046,TAG0118
RES0046,TAG0011
RES0046,TAG0100
RES0046,TAG0031
RES0047,TAG0036
RES0047,TAG0034
RES0047,TAG0065
RES0047,TAG0055
RES0047,TAG0094
RES0047,TAG0015
RES0047,TAG0100
RES0047,TAG0084
RES0048,TAG0108
RES0048,TAG0095
RES0048,TAG0024
RES0048,TAG0015
RES0049,TAG0108
RES0049,TAG0081
RES0049,TAG0065
RES0049,TAG0031
RES0049,TAG0136
RES0050,TAG0117
RES0050,TAG0072
RES0050,TAG0128
RES0050,TAG0024
RES0050,TAG0065
RES0050,TAG0015
RES0051,TAG0105
RES0051,TAG0138
RES0051,TAG0024
RES0051,TAG0057
RES0051,TAG0107
RES0052,TAG0117
RES0052,TAG0056
RES0052,TAG0024
RES0052,TAG0065
RES0052,TAG0116
RES0052,TAG0141
RES0052,TAG0021
RES0052,TAG0008
RES0053,TAG0033
RES0053,TAG0027
RES0053,TAG0139
RES0053,TAG0015
RES0053,TAG0022
RES0053,TAG0136
RES0055,TAG0108
RES0055,TAG0030
RES0055,TAG0024
RES0055,TAG0065
RES0055,TAG0139
RES0055,TAG0015
RES0055,TAG0008
RES0055,TAG0049
RES0056,TAG0059
RES0056,TAG0014
RES0056,TAG0001
RES0056,TAG0064
RES0057,TAG0125
RES0057,TAG0077
RES0057,TAG0128
RES0057,TAG0065
RES0057,TAG0139
RES0057,TAG0015
RES0057,TAG0049
RES0057,TAG0008
RES0058,TAG0092
RES0058,TAG0035
RES0058,TAG0128
RES0058,TAG0065
RES0058,TAG0068
RES0058,TAG0002
RES0058,TAG0015
RES0058,TAG0008
RES0058,TAG0127
RES0059,TAG0054
RES0059,TAG0030
RES0059,TAG0065
RES0059,TAG0057
RES0059,TAG0029
RES0059,TAG0015
RES0059,TAG0100
RES0059,TAG0127
RES0060,TAG0054
RES0060,TAG0095
RES0060,TAG0065
RES0060,TAG0102
RES0060,TAG0061
RES0060,TAG0015
RES0060,TAG0058
RES0060,TAG0008
RES0061,TAG0034
RES0061,TAG0087
RES0061,TAG0039
RES0061,TAG0130
RES0061,TAG0021
RES0062,TAG0125
RES0062,TAG0108
RES0062,TAG0024
RES0062,TAG0065
RES0062,TAG0139
RES0062,TAG0129
RES0062,TAG0044
RES0062,TAG0001
RES0062,TAG0100
RES0063,TAG0108
RES0063,TAG0117
RES0063,TAG0024
RES0063,TAG0139
RES0063,TAG0078
RES0063,TAG0015
RES0063,TAG0008
RES0063,TAG0049
RES0064,TAG0035
RES0064,TAG0030
RES0064,TAG0057
RES0064,TAG0107
RES0065,TAG0025
RES0065,TAG0034
