category_name
고깃집
짜장면
일식당
숙성회
돼지갈비
낙지볶음
오징어
케이크
뼈해장국
포차
카츠
떡볶이
참치회
소갈비살
부타동
디저트
야끼니꾸
호떡
꽈배기
보리밥
1인샤브
테이크아웃카페
분식
소곱창전골
마라샹궈
기계우동
누룽지통닭
오징어보쌈
낙지
와플
소고기국밥
피맥
동태탕
게장
고기집
보쌈
후라이드
흑염소탕
텐동
빙수
횟집
묵은지
직화낙지볶음
피자집
골뱅이소면
검정콩국수
술집
꿔바로우
샐러드
족발
칼국수
제육쌈밥
스시
돌솥밥
곱창전골
소곱창
전집
바지락칼국수
타코야끼
포케
김밥
국물닭발
생맥주
쌈밥
곱창볶음
국밥
치킨
샤브샤브
닭갈비
갑오징어
연어초밥
빵
우설
주먹구이
피자
수제비
시래기불고기
막걸리
장어
수제버거
곱창
양념게장
단팥죽
마라탕
고추튀김
중국집
낙지비빔밥
베트남쌀국수
밥집
닭발
한식
흑염소
콩국수
감자탕
식빵
회전초밥
김치닭볶음탕
순대국
베트남음식
돈까스
비빔밥
핫도그
젤라또와플
반찬가게
붕어빵
꼬치
생선구이
닭꼬치
커피
참치무한리필
수박주스
대방어
목살
마카롱
이자카야
카페
통닭
젓갈전문
육전국밥
일본가정식
소금구이
장어구이
아구찜
