category_name
와플
김밥
제육쌈밥
참치무한리필
짜장면
마라샹궈
소갈비살
순대국
피자
국밥
횟집
포차
야끼니꾸
일본가정식
생선구이
빵
식빵
일식당
케이크
한식
바지락칼국수
반찬가게
닭발
목살
국물닭발
대방어
전집
카츠
분식
김치닭볶음탕
우설
막걸리
뼈해장국
소곱창전골
통닭
이자카야
떡볶이
참치회
쌈밥
숙성회
콩국수
수제비
호떡
고기집
중국집
누룽지통닭
소금구이
소곱창
아구찜
닭꼬치
곱창전골
기계우동
1인샤브
베트남음식
붕어빵
회전초밥
장어
핫도그
수제버거
보리밥
칼국수
마라탕
비빔밥
포케
닭갈비
스시
술집
부타동
후라이드
곱창
감자탕
꼬치
커피
수박주스
고깃집
골뱅이소면
오징어보쌈
흑염소탕
고추튀김
꿔바로우
장어구이
검정콩국수
디저트
동태탕
낙지비빔밥
돌솥밥
양념게장
소고기국밥
피맥
타코야끼
곱창볶음
샤브샤브
텐동
묵은지
돈까스
오징어
카페
낙지
주먹구이
족발
빙수
젤라또와플
밥집
꽈배기
낙지볶음
갑오징어
마카롱
치킨
연어초밥
샐러드
베트남쌀국수
시래기불고기
단팥죽
젓갈전문
돼지갈비
테이크아웃카페
보쌈
생맥주
피자집
흑염소
육전국밥
직화낙지볶음
게장
