restaurant_code,menu_name,price,description
0,회전초밥,,
0,장어초밥,,
1,프레지에 1호 홀케이크,50000,
1,프레지에,10500,
1,페르디셔 압펠,6000,
1,루이보스 스트로베리 크림,6000,
1,바바리안 민트,6000,
1,아메리카노,4500,
1,마카롱,2500,
1,[패스오더전용] 100원 아메리카노,100,"패스오더 앱 설치하면, 최소 주문 금액 없이 100원에 커피 주문+1,500원 쿠폰까지"
1,카페라떼,5000,
1,카푸치노,5000,
1,카페모카,5000,
1,바닐라라떼,5500,
1,임페리얼 얼그레이,6000,
2,한제소곱창전골(소),32000,
2,한제소곱창전골 중,42000,곱이 꽉꽉 차있는 소곱창과 깐양을 넣고 배추 버섯등을 듬뿍 넣은 맛있는 소곱창전골입니다
2,한제소곱창전골 대,52000,곱이 꽉 차있는 소곱창과 깐양을 넣고 배추 버섯등을 푸짐하게 넣어 국물이 진하고 맛있습니다
2,한제소고기전골 소,32000,사태를 넣고 배추 버섯등을 듬뿍 넣어 담백하고 깔끔합니다
2,한제소고기전골 중,42000,사태를 넣고 배추 버섯등을 듬뿍 넣어 담백하고 깔끔합니다
2,한제소고기전골 대,52000,사태를 넣고 배추 버섯등을 듬뿍 넣어 담백하고 깔끔합니다
2,소곱창튀김,15000,어디에서도 맛볼 수 없던 소곱창튀김입니다 한제의 다양한 소스에 찍어먹으면 꿀맛 !!
2,한우수제떡갈비,15000,수제로 만든 아이 어른 누구나 좋아하는 떡갈비
2,도가니수육,22000,남녀노소 모두가 좋아하는 건강식!
2,한제수육,22000,사태로 만든 술안주 끝판왕 수육
3,에스프레소,2800,
3,아메리카노,2800,
3,밀크티,5800,
3,민트초코라떼,5000,
3,얼그레이,4800,
3,페퍼민트,4800,
3,캐모마일,4800,
3,수제레몬청,5800,
3,민트초코 프라푸치노,5500,
3,피스타치오 아몬드 프라푸치노,5500,
3,레몬에이드,5900,
3,자몽에이드,5900,
3,라떼,3300,
3,수제 스트로베리 크럼블,6200,
3,수제 당근케이크,6500,
3,수제 치즈케이크,6000,
3,수제 바스크치즈케이크,7000,
3,수제 브라우니,7000,
3,복숭아 아이스티,4500,
3,빅토리아 케이크,7000,
3,딸기크림,3500,
3,피넛크림,3500,
